Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.base.json	30759	-	0	0	0	0	0	0	14	76	0	0	0	0	0	0	0	1	0	0	144	161	0	0	0	0	12	0	1
fsh-generated/resources/ActivityDefinition-SGDecisionTableGuidance.json	926	4	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CDHIv1.json	11818	7	0	0	1	0	1	0	3	32	0	0	1	0	0	0	0	1	0	0	52	621	0	0	0	0	5	0	0
fsh-generated/resources/CodeSystem-CDSCv1.json	2565	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	12	47	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CoreDataElementType.json	1018	2	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	6	30	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DecisionTableActions.json	668	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	26	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DocumentationSections.json	1121	2	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	27	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ISCO08.json	63870	10	0	0	0	0	0	0	6	34	0	0	0	0	0	0	0	1	0	0	168	143	0	0	0	0	14	0	1
fsh-generated/resources/CodeSystem-SGPersonaTypes.json	970	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	25	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-SGTasks.json	3123	4	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	13	29	0	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-CDHIv1Hierarchy.json	21902	8	0	0	0	0	0	0	3	34243	0	0	0	0	0	0	0	0	0	0	50	34085	0	0	1	0	4	0	0
fsh-generated/resources/Questionnaire-DAK.DT.IMMZ.D2.DT.BCGQuestionnaire.json	3899	5	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	44	24	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BusinessProcessWorkflow.json	4493	4	0	13	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	66	585	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-BusinessProcessWorkflowSource.json	2860	4	0	17	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	37	139	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-CoreDataElement.json	2891	4	0	34	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	42	114	0	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-CoreDataElementSource.json	2644	4	0	34	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	27	95	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DAK.json	9101	5	0	48	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	119	117	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-DecisionSupportLogic.json	2434	4	0	37	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	33	61	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DecisionSupportLogicSource.json	2779	4	0	33	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	31	63	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DublinCore.json	5677	5	0	36	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	66	77	0	0	0	0	3	0	0
